unit,repeat,condition,value
88feccabf5870a27,receiver_ABB,baseline,3.7795677185058594
88feccabf5870a27,receiver_ABB,full,1.7067975997924805
88feccabf5870a27,receiver_ABB,read_row,3.4185562133789062
88feccabf5870a27,receiver_ABB,read_null,1.9585638046264648
88feccabf5870a27,receiver_BAB,baseline,2.7590255737304688
88feccabf5870a27,receiver_BAB,full,0.40522098541259766
88feccabf5870a27,receiver_BAB,read_row,2.3646068572998047
88feccabf5870a27,receiver_BAB,read_null,0.7235536575317383
3d97f2b437849536,receiver_ABB,baseline,4.415400505065918
3d97f2b437849536,receiver_ABB,full,2.9552783966064453
3d97f2b437849536,receiver_ABB,read_row,4.2000226974487305
3d97f2b437849536,receiver_ABB,read_null,3.293684959411621
3d97f2b437849536,receiver_BAB,baseline,3.7239933013916016
3d97f2b437849536,receiver_BAB,full,1.7709293365478516
3d97f2b437849536,receiver_BAB,read_row,3.3381900787353516
3d97f2b437849536,receiver_BAB,read_null,2.09246826171875
3b60f521fb4b34dc,receiver_ABB,baseline,3.6968183517456055
3b60f521fb4b34dc,receiver_ABB,full,3.0718154907226562
3b60f521fb4b34dc,receiver_ABB,read_row,3.609140396118164
3b60f521fb4b34dc,receiver_ABB,read_null,3.1486501693725586
3b60f521fb4b34dc,receiver_BAB,baseline,1.5748605728149414
3b60f521fb4b34dc,receiver_BAB,full,1.0241241455078125
3b60f521fb4b34dc,receiver_BAB,read_row,1.498392105102539
3b60f521fb4b34dc,receiver_BAB,read_null,1.0931634902954102
f6757aa45ace6fda,receiver_ABB,baseline,1.9291601181030273
f6757aa45ace6fda,receiver_ABB,full,0.9167213439941406
f6757aa45ace6fda,receiver_ABB,read_row,1.707672119140625
f6757aa45ace6fda,receiver_ABB,read_null,1.08319091796875
f6757aa45ace6fda,receiver_BAB,baseline,4.671714782714844
f6757aa45ace6fda,receiver_BAB,full,2.3216981887817383
f6757aa45ace6fda,receiver_BAB,read_row,4.233157157897949
f6757aa45ace6fda,receiver_BAB,read_null,2.783296585083008
e720e99c701362e3,receiver_ABB,baseline,3.511566162109375
e720e99c701362e3,receiver_ABB,full,2.6981334686279297
e720e99c701362e3,receiver_ABB,read_row,3.379772186279297
e720e99c701362e3,receiver_ABB,read_null,2.818558692932129
e720e99c701362e3,receiver_BAB,baseline,3.6274518966674805
e720e99c701362e3,receiver_BAB,full,2.3906116485595703
e720e99c701362e3,receiver_BAB,read_row,3.4322710037231445
e720e99c701362e3,receiver_BAB,read_null,2.5777721405029297
825dac4e26040d48,receiver_ABB,baseline,1.4983329772949219
825dac4e26040d48,receiver_ABB,full,0.11327171325683594
825dac4e26040d48,receiver_ABB,read_row,1.333740234375
825dac4e26040d48,receiver_ABB,read_null,0.33009815216064453
825dac4e26040d48,receiver_BAB,baseline,2.09188175201416
825dac4e26040d48,receiver_BAB,full,0.8311138153076172
825dac4e26040d48,receiver_BAB,read_row,1.9335079193115234
825dac4e26040d48,receiver_BAB,read_null,1.0213985443115234
a74a96b0ff5c1226,receiver_ABB,baseline,2.566868782043457
a74a96b0ff5c1226,receiver_ABB,full,1.8215789794921875
a74a96b0ff5c1226,receiver_ABB,read_row,2.461263656616211
a74a96b0ff5c1226,receiver_ABB,read_null,1.9413471221923828
a74a96b0ff5c1226,receiver_BAB,baseline,3.031269073486328
a74a96b0ff5c1226,receiver_BAB,full,1.8753738403320312
a74a96b0ff5c1226,receiver_BAB,read_row,2.8688583374023438
a74a96b0ff5c1226,receiver_BAB,read_null,2.0594005584716797
7f53d8c4a95a8f3b,receiver_ABB,baseline,2.738832473754883
7f53d8c4a95a8f3b,receiver_ABB,full,1.553818702697754
7f53d8c4a95a8f3b,receiver_ABB,read_row,2.516695022583008
7f53d8c4a95a8f3b,receiver_ABB,read_null,1.7675561904907227
7f53d8c4a95a8f3b,receiver_BAB,baseline,5.447998046875
7f53d8c4a95a8f3b,receiver_BAB,full,2.3940935134887695
7f53d8c4a95a8f3b,receiver_BAB,read_row,4.834053993225098
7f53d8c4a95a8f3b,receiver_BAB,read_null,2.84112548828125
affd3029d1903ae3,receiver_ABB,baseline,5.013283729553223
affd3029d1903ae3,receiver_ABB,full,3.528024673461914
affd3029d1903ae3,receiver_ABB,read_row,4.771814346313477
affd3029d1903ae3,receiver_ABB,read_null,3.812191963195801
affd3029d1903ae3,receiver_BAB,baseline,4.858245849609375
affd3029d1903ae3,receiver_BAB,full,2.24137020111084
affd3029d1903ae3,receiver_BAB,read_row,4.3918657302856445
affd3029d1903ae3,receiver_BAB,read_null,2.697840690612793
6b2b4bf39bc32804,receiver_ABB,baseline,2.4400129318237305
6b2b4bf39bc32804,receiver_ABB,full,1.971181869506836
6b2b4bf39bc32804,receiver_ABB,read_row,2.346512794494629
6b2b4bf39bc32804,receiver_ABB,read_null,2.015110969543457
6b2b4bf39bc32804,receiver_BAB,baseline,1.396590232849121
6b2b4bf39bc32804,receiver_BAB,full,0.1844463348388672
6b2b4bf39bc32804,receiver_BAB,read_row,1.191084861755371
6b2b4bf39bc32804,receiver_BAB,read_null,0.3365621566772461
6a6c691b60828579,receiver_ABB,baseline,2.7245187759399414
6a6c691b60828579,receiver_ABB,full,0.9284029006958008
6a6c691b60828579,receiver_ABB,read_row,2.4488296508789062
6a6c691b60828579,receiver_ABB,read_null,1.217848777770996
6a6c691b60828579,receiver_BAB,baseline,0.38392162322998047
6a6c691b60828579,receiver_BAB,full,-1.7139406204223633
6a6c691b60828579,receiver_BAB,read_row,0.04964447021484375
6a6c691b60828579,receiver_BAB,read_null,-1.3799467086791992
8301b0adec42eea6,receiver_ABB,baseline,1.5077953338623047
8301b0adec42eea6,receiver_ABB,full,0.44109153747558594
8301b0adec42eea6,receiver_ABB,read_row,1.3058910369873047
8301b0adec42eea6,receiver_ABB,read_null,0.6121730804443359
8301b0adec42eea6,receiver_BAB,baseline,4.222426414489746
8301b0adec42eea6,receiver_BAB,full,2.3469181060791016
8301b0adec42eea6,receiver_BAB,read_row,3.9098148345947266
8301b0adec42eea6,receiver_BAB,read_null,2.6785755157470703
a01fed8b8d7a51c0,receiver_ABB,baseline,3.6397085189819336
a01fed8b8d7a51c0,receiver_ABB,full,1.8724393844604492
a01fed8b8d7a51c0,receiver_ABB,read_row,3.4186620712280273
a01fed8b8d7a51c0,receiver_ABB,read_null,2.1410531997680664
a01fed8b8d7a51c0,receiver_BAB,baseline,2.3819875717163086
a01fed8b8d7a51c0,receiver_BAB,full,0.8992891311645508
a01fed8b8d7a51c0,receiver_BAB,read_row,2.2285451889038086
a01fed8b8d7a51c0,receiver_BAB,read_null,1.1885671615600586
d98fa1d35df83421,receiver_ABB,baseline,3.5687074661254883
d98fa1d35df83421,receiver_ABB,full,2.75168514251709
d98fa1d35df83421,receiver_ABB,read_row,3.462700843811035
d98fa1d35df83421,receiver_ABB,read_null,2.876455307006836
d98fa1d35df83421,receiver_BAB,baseline,1.5376853942871094
d98fa1d35df83421,receiver_BAB,full,0.884429931640625
d98fa1d35df83421,receiver_BAB,read_row,1.4362306594848633
d98fa1d35df83421,receiver_BAB,read_null,0.9680032730102539
d9dab0b827f8d369,receiver_ABB,baseline,4.463171005249023
d9dab0b827f8d369,receiver_ABB,full,3.0024566650390625
d9dab0b827f8d369,receiver_ABB,read_row,4.123506546020508
d9dab0b827f8d369,receiver_ABB,read_null,3.1812572479248047
d9dab0b827f8d369,receiver_BAB,baseline,4.532225608825684
d9dab0b827f8d369,receiver_BAB,full,1.8570775985717773
d9dab0b827f8d369,receiver_BAB,read_row,4.075528144836426
d9dab0b827f8d369,receiver_BAB,read_null,2.328465461730957
da57386785b62586,receiver_ABB,baseline,4.016980171203613
da57386785b62586,receiver_ABB,full,2.865189552307129
da57386785b62586,receiver_ABB,read_row,3.86627197265625
da57386785b62586,receiver_ABB,read_null,3.1453819274902344
da57386785b62586,receiver_BAB,baseline,5.587859153747559
da57386785b62586,receiver_BAB,full,3.1370134353637695
da57386785b62586,receiver_BAB,read_row,5.182366371154785
da57386785b62586,receiver_BAB,read_null,3.612309455871582
4f94065b4989a5a6,receiver_ABB,baseline,7.800569534301758
4f94065b4989a5a6,receiver_ABB,full,5.710729598999023
4f94065b4989a5a6,receiver_ABB,read_row,7.53343391418457
4f94065b4989a5a6,receiver_ABB,read_null,6.055574417114258
4f94065b4989a5a6,receiver_BAB,baseline,5.039739608764648
4f94065b4989a5a6,receiver_BAB,full,2.976435661315918
4f94065b4989a5a6,receiver_BAB,read_row,4.742072105407715
4f94065b4989a5a6,receiver_BAB,read_null,3.287400245666504
56262cce1a197576,receiver_ABB,baseline,2.572869300842285
56262cce1a197576,receiver_ABB,full,1.6262474060058594
56262cce1a197576,receiver_ABB,read_row,2.4471092224121094
56262cce1a197576,receiver_ABB,read_null,1.7535409927368164
56262cce1a197576,receiver_BAB,baseline,2.6654281616210938
56262cce1a197576,receiver_BAB,full,1.194148063659668
56262cce1a197576,receiver_BAB,read_row,2.418572425842285
56262cce1a197576,receiver_BAB,read_null,1.347233772277832
f3ccd25b3ff64991,receiver_ABB,baseline,2.726395606994629
f3ccd25b3ff64991,receiver_ABB,full,1.788522720336914
f3ccd25b3ff64991,receiver_ABB,read_row,2.55706787109375
f3ccd25b3ff64991,receiver_ABB,read_null,1.916254997253418
f3ccd25b3ff64991,receiver_BAB,baseline,3.264720916748047
f3ccd25b3ff64991,receiver_BAB,full,1.4175291061401367
f3ccd25b3ff64991,receiver_BAB,read_row,2.965815544128418
